Date,Open,High,Low,Close,Volume
22-02-2024 19:00,51747.3,51747.4,51480,51547,5202.155
22-02-2024 20:00,51546.9,52130.8,51497,52024.8,22307.987
22-02-2024 21:00,52024.8,52037.5,51574.2,51685,9199.455
22-02-2024 22:00,51685.1,51746,51203.7,51481.6,11389.79
22-02-2024 23:00,51481.6,51514.9,51256,51316.9,6850.279
23-02-2024 00:00,51316.9,51514.9,51289.7,51482.5,4845.73
23-02-2024 01:00,51482.4,51576.3,51332.6,51336.8,4587.896
23-02-2024 02:00,51336.8,51454.7,51060.6,51124.5,8280.639
23-02-2024 03:00,51124.6,51200,50989.9,51129.7,11129.129
23-02-2024 04:00,51129.8,51352.6,51019.9,51246.6,6814.448
23-02-2024 05:00,51246.7,51275.4,51138,51264.1,4239.142
23-02-2024 06:00,51264.1,51347.3,51239.2,51328.7,4368.335
23-02-2024 07:00,51328.8,51329.7,50900.2,50952.3,11270.743
23-02-2024 08:00,50952.3,51213.2,50862.3,51000,12388.082
23-02-2024 09:00,50999.9,51110,50903.7,51046.1,7362.009
23-02-2024 10:00,51046,51213.2,51000.8,51208.4,7187.386
23-02-2024 11:00,51208.5,51300,51170.6,51254.1,6282.704
23-02-2024 12:00,51254.1,51260,50955,51018.1,9735.798
23-02-2024 13:00,51018.1,51128.7,50946.5,51087.8,6578.59
23-02-2024 14:00,51087.9,51372.3,50804.4,51157.1,27306.759
23-02-2024 15:00,51157.2,51157.2,50862,50938.1,14330.886
23-02-2024 16:00,50938.2,51152.8,50652.9,51086.1,23062.546
23-02-2024 17:00,51086,51200,51000,51160.8,7717.467
23-02-2024 18:00,51160.7,51228.6,51020.5,51130.9,5139.05
23-02-2024 19:00,51131,51225.7,51050.5,51131,4660.109
23-02-2024 20:00,51130.9,51187.6,50968.8,51100.8,5588.96
23-02-2024 21:00,51100.7,51118.7,51005,51007,2127.693
23-02-2024 22:00,51006.4,51053,50762.5,50808.1,5263.889
23-02-2024 23:00,50808,50957.8,50512.7,50771.9,15206.572
24-02-2024 00:00,50771.9,50934.9,50720,50917.2,6339.398
24-02-2024 01:00,50917.2,50918.4,50614,50614.8,6160.827
24-02-2024 02:00,50614.9,50834,50611.4,50833.9,4434.542
24-02-2024 03:00,50833.9,50890,50708,50878.2,2988.552
24-02-2024 04:00,50878.2,51039.9,50856.1,50987.6,4564.874
24-02-2024 05:00,50987.6,51095.6,50943.9,51067.8,3584.299
24-02-2024 06:00,51067.8,51088.3,50969,50996.7,3888.093
24-02-2024 07:00,50996.7,51133.3,50962.7,51099.8,3367.425
24-02-2024 08:00,51099.8,51147.6,50965,51015.5,3408.417
24-02-2024 09:00,51015.5,51143.2,51004.7,51104.7,2661.441
24-02-2024 10:00,51104.8,51195,51089.7,51112,3032.041
24-02-2024 11:00,51111.9,51164.7,51061,51151.9,2180.693
24-02-2024 12:00,51151.8,51158.7,51053.3,51105.4,2092.269
24-02-2024 13:00,51105.4,51204.2,51079.2,51166.6,3681.064
24-02-2024 14:00,51166.5,51198.2,51091,51158.9,2685.714
24-02-2024 15:00,51159,51180.1,51123.2,51124.6,1815.833
24-02-2024 16:00,51124.7,51248.6,51117.1,51245,3415.499
24-02-2024 17:00,51244.9,51736.6,51242.6,51570.8,19913.591
24-02-2024 18:00,51570.7,51733.9,51435,51473.6,8823.736
24-02-2024 19:00,51473.5,51676.4,51473.5,51590,3391.137
24-02-2024 20:00,51589.9,51620,51474.4,51541.2,2676.926
24-02-2024 21:00,51541.2,51669.9,51488.7,51590.2,2982.872
24-02-2024 22:00,51590.1,51712.5,51588.8,51592,3732.062
24-02-2024 23:00,51592,51694.3,51526.7,51602.1,3123.152
25-02-2024 00:00,51602.1,51624.3,51473.2,51517.6,2823.05
25-02-2024 01:00,51517.6,51728.1,51465.5,51718.8,4739.448
25-02-2024 02:00,51718.8,51949.8,51580.8,51633.1,11667.553
25-02-2024 03:00,51633,51655.9,51484.2,51654.2,4704.524
25-02-2024 04:00,51654.1,51657.8,51530.3,51640,1974.098
25-02-2024 05:00,51640,51771.5,51619.7,51699.1,3325.637
25-02-2024 06:00,51699.1,51853.2,51662.6,51796.5,5424.936
25-02-2024 07:00,51796.5,51812.8,51709,51756.8,2873.304
25-02-2024 08:00,51756.9,51817,51610.9,51633.6,4207.376
25-02-2024 09:00,51633.6,51683,51550,51671.5,3564.019
25-02-2024 10:00,51671.4,51719.5,51580.8,51608.8,2927.931
25-02-2024 11:00,51608.8,51739,51583,51672.3,2442.163
25-02-2024 12:00,51672.3,51703.1,51615.2,51689,2523.902
25-02-2024 13:00,51688.9,51726.2,51578,51646.3,3679.358
25-02-2024 14:00,51646.4,51828.4,51630.1,51780.3,6025.469
25-02-2024 15:00,51780.3,51808.7,51465,51547.8,8586.849
25-02-2024 16:00,51547.9,51664.3,51300.4,51400.4,12560.89
25-02-2024 17:00,51400.5,51615.9,51382.2,51599.1,4888.419
25-02-2024 18:00,51599.1,51620.9,51534.3,51619.9,2523
25-02-2024 19:00,51620,51780,51545.1,51708,4870.073
25-02-2024 20:00,51707.9,52050,51707.9,51777.9,14715.223
25-02-2024 21:00,51777.8,51830.7,51681.3,51802.4,4127.645
25-02-2024 22:00,51802.3,51908.8,51688,51749,3728.218
25-02-2024 23:00,51749,51845.9,51707.5,51764.9,3274.175
26-02-2024 00:00,51764.9,51846.1,51652.5,51722,4259.737
26-02-2024 01:00,51722,51735.3,51500,51507.9,5772.029
26-02-2024 02:00,51507.9,51582.4,51457.7,51459.3,3852.459
26-02-2024 03:00,51459.3,51609.1,51431,51596.1,3201.585
26-02-2024 04:00,51596.1,51634.5,51512,51572.7,2444.966
26-02-2024 05:00,51572.7,51632.4,51461.3,51604.6,3158.318
26-02-2024 06:00,51604.6,51645,51530.1,51563.7,1913.572
26-02-2024 07:00,51563.7,51566.7,51320,51327.5,6296.415
26-02-2024 08:00,51327.5,51429.1,51282.5,51287,7110.712
26-02-2024 09:00,51287,51345.6,50922.5,50984.4,17328.557
26-02-2024 10:00,50984.4,51286.1,50969.1,51208,8525.751
26-02-2024 11:00,51208,51257.3,51073.8,51126.4,5682.684
26-02-2024 12:00,51126.3,51275.6,50990,51275.6,6876.982
26-02-2024 13:00,51275.5,51478.1,51237.3,51264.1,11409.274
26-02-2024 14:00,51264.1,51752.2,51237.9,51720,16052.357
26-02-2024 15:00,51720,52885.5,51664.4,52872.3,65644.457
26-02-2024 16:00,52872.2,53688.5,52777.2,53438.9,65373.978
26-02-2024 17:00,53438.9,53567.7,53254.2,53550,17045.139
26-02-2024 18:00,53550,53674,53326.8,53624.8,15910.028
26-02-2024 19:00,53624.8,54599.9,53461.8,54531.3,56739.965
26-02-2024 20:00,54531.2,54991.8,54321,54492.9,40423.222
26-02-2024 21:00,54492.9,54789.4,54351.1,54683.2,12121.046
26-02-2024 22:00,54683.3,54855,54490.4,54704.9,9470.308
26-02-2024 23:00,54705,54705.1,54475,54511.6,6852.69
27-02-2024 00:00,54511.7,54692.4,54495,54599.1,8138.697
27-02-2024 01:00,54599.1,55888.5,54547,55857.4,37404.419
27-02-2024 02:00,55857.3,57780,55666.8,56428.8,70769.81
27-02-2024 03:00,56428.8,56666,55587.9,55774.3,28313.635
27-02-2024 04:00,55773.1,56175.1,55655,55823,19447.067
27-02-2024 05:00,55823,56277.5,55728.2,56131,12351.128
27-02-2024 06:00,56131.1,56497,56103.5,56396.3,10200.701
27-02-2024 07:00,56396.2,56419,55853.3,56100,14196.036
27-02-2024 08:00,56100.1,56518,56075.6,56294.3,12430.781
27-02-2024 09:00,56294.2,56800,56223.1,56660.4,15401.763
27-02-2024 10:00,56660.5,56879.9,56406.1,56563.5,14020.133
27-02-2024 11:00,56563.5,56629.9,56360,56581.4,7397.602
27-02-2024 12:00,56581.4,57494.3,56501.9,56842.1,41684.833
27-02-2024 13:00,56842.2,57236.5,56652.2,57160.9,28697.116
27-02-2024 14:00,57160.9,57399.3,56668.1,57018,34550.228
27-02-2024 15:00,57017.9,57350,56610,56775,29556.697
27-02-2024 16:00,56775.1,57224.9,56231,57084.1,34073.178
27-02-2024 17:00,57084.1,57255.8,56690,56804.2,18488.694
27-02-2024 18:00,56804.1,57179.4,56700,57152.7,10539.178
27-02-2024 19:00,57152.7,57679.5,56956.4,57390.7,22448.762
27-02-2024 20:00,57390.7,57415.4,56716.7,57012.4,20200.287
27-02-2024 21:00,57012.4,57040.4,56625.3,56755.8,8366.567
27-02-2024 22:00,56755.7,57045.3,56675,56935.3,5836.004
27-02-2024 23:00,56935.3,57157,56886.8,57074.5,6962.219
28-02-2024 00:00,57074.5,57148,56904.4,57059,5179.634
28-02-2024 01:00,57059.1,57150.4,56800,56813.3,5838.96
28-02-2024 02:00,56813.3,57024.2,56730.1,56970,4972.347
28-02-2024 03:00,56970,57013.1,56880.8,56963.3,3750.418
28-02-2024 04:00,56963.3,57325.7,56932.2,57252.1,7700.202
28-02-2024 05:00,57252.2,57317,57087.1,57115.9,5341.899
28-02-2024 06:00,57116,57233,57083.6,57223.1,3776.799
28-02-2024 07:00,57223.1,58472.8,57182.5,58300,44997.15
28-02-2024 08:00,58299.9,59566.2,58226.9,59503.7,77453.204
28-02-2024 09:00,59503.7,59525.2,58902,59357,41150.666
28-02-2024 10:00,59357.1,59424.3,59056.2,59339.4,14483.207
28-02-2024 11:00,59339.5,59589,58555.2,58997.4,38839.515
28-02-2024 12:00,58997.4,59497.9,58940.8,59411.6,22642.024
28-02-2024 13:00,59411.7,61127,59360,60542,93953.254
28-02-2024 14:00,60541.9,61293,59814.8,61025.9,63516.685
28-02-2024 15:00,61025.9,61437.4,60639.3,61000,50710.94
28-02-2024 16:00,61000,62672.3,60971.1,62530.3,69526.297
28-02-2024 17:00,62530.2,64300,59000,61467.8,231253.139
28-02-2024 18:00,61467.8,61638.3,59314.3,61175.6,85359.917
28-02-2024 19:00,61175.6,61581.2,60674.5,61032.8,36087.847
28-02-2024 20:00,61032.8,61179.5,60001,60469.5,35761.498
28-02-2024 21:00,60469.4,60677.5,59840.5,60611.6,19655.046
28-02-2024 22:00,60611.7,61438.4,60559.1,61316.9,17826.491
28-02-2024 23:00,61317,62710,61295.8,62487.9,30341.303
29-02-2024 00:00,62487.9,62508.4,61269.6,61455.9,32982.362
29-02-2024 01:00,61455.8,61636.1,61105.2,61480.7,14705.917
29-02-2024 02:00,61480.6,61842,61171.9,61831.2,10496.887
29-02-2024 03:00,61831.1,61831.2,61200,61638.6,9370.417
29-02-2024 04:00,61638.6,62800,61408.3,62531.9,23215.122
29-02-2024 05:00,62531.9,62755.3,61853.3,62620.9,19852.816
29-02-2024 06:00,62620.9,63762.8,62549.2,63053.4,42580.585
29-02-2024 07:00,63053.4,63221.6,62600,62761.5,19285.559
29-02-2024 08:00,62761.6,63217.4,62380,62879.1,25627.829
29-02-2024 09:00,62879.1,63068.6,62334.4,62772.3,14788.349
29-02-2024 10:00,62772.2,62875,62151.1,62792.8,15212.021
29-02-2024 11:00,62792.7,63460.8,62690.8,63019.8,19074.703
29-02-2024 12:00,63019.8,63125.7,62375,62729.9,19467
29-02-2024 13:00,62730,63140,62050,63004.2,29631.518
29-02-2024 14:00,63004.1,63599.9,62800,62959,36012.656
29-02-2024 15:00,62959.1,63348.9,62612.9,62809.1,19653.998
29-02-2024 16:00,62809.1,62952.4,61550,62235.4,41673.503
29-02-2024 17:00,62235.5,62474.3,60600,61082.9,56936.665
29-02-2024 18:00,61082.9,61613.3,60452,60921.4,35216.906
29-02-2024 19:00,60921.4,61730.8,60727.6,61681.8,17125.912
